origin,dest,count,connection
5,6,624.1540772,strong
5,6,686.0501976,strong
5,6,686.5371689,strong
5,6,673.7232726,strong
5,6,890.2383591,weak
5,6,623.2430469,strong
5,6,670.1890086,strong
5,6,647.7666656,strong
5,6,611.5782559,strong
5,6,631.6034875,strong
5,6,661.2831213,strong
5,6,623.2696366,strong
5,6,696.0790363,strong
5,6,723.7091197,strong
5,6,688.6250596,strong
5,6,895.4395214,weak
5,6,614.2886429,strong
5,6,559.7865357,strong
5,6,781.02608,strong
5,6,670.0480661,strong
5,6,801.8374195,weak
5,6,670.48801,strong
5,6,651.4912652,strong
5,6,739.9221384,strong
5,6,651.2793326,strong
5,6,820.2549668,weak
5,6,704.2053025,strong
5,6,195.8594793,strong
5,6,837.3937065,weak
5,6,1176.509779,weak
5,6,1116.618933,weak
5,6,1135.171903,weak
5,6,782.0051296,strong
5,6,979.8660279,weak
5,6,969.3127479,weak
5,6,937.8093551,weak
5,6,780.252232,strong
5,6,1079.673393,weak
5,6,1294.792158,weak
5,6,788.163534,strong
5,6,1047.599619,weak
5,6,788.6897621,strong
5,6,1390.339556,weak
5,6,923.5352178,weak
5,6,825.5633829,weak
5,6,1467.052858,weak
5,6,921.9826995,weak
5,6,784.3137206,strong
5,6,1170.379668,weak
5,6,1271.693072,weak
5,6,1018.59288,weak
5,6,1265.262381,weak
5,6,1198.434564,weak
5,6,1464.065658,weak
5,6,1354.168105,weak
5,6,964.7222262,weak
5,6,1494.573156,weak
5,6,1524.692173,weak
5,6,1176.498561,weak
5,6,990.4299334,weak
5,6,1427.976114,weak
5,6,785.1212687,strong
5,6,1447.702279,weak
6,7,335.6638914,strong
6,7,663.2943149,strong
6,7,1143.631081,weak
6,7,951.5148679,weak
6,7,960.5609089,weak
6,7,790.4528206,strong
6,7,922.5701757,weak
6,7,1118.104771,weak
6,7,1080.004721,weak
6,7,1219.39934,weak
6,7,1248.715283,weak
6,7,1098.103103,weak
6,7,750.2253447,strong
6,7,1340.531613,weak
6,7,1191.566703,weak
6,7,1094.941207,weak
6,7,867.7024121,weak
6,7,825.0897911,weak
6,7,735.5345713,strong
6,7,1057.06447,weak
6,7,1026.299855,weak
6,7,911.131342,weak
6,7,983.0421345,weak
6,7,1032.386579,weak
6,7,1092.959167,weak
6,7,1039.629771,weak
6,7,1070.281119,weak
6,7,1003.633149,weak
6,7,1345.037884,weak
6,7,1453.578472,weak
6,7,1171.558225,weak
6,7,1066.105707,weak
6,7,841.0587844,weak
6,7,1213.777274,weak
6,7,1100.276286,weak
6,7,901.1869622,weak
6,7,1086.670847,weak
6,7,1119.266695,weak
6,7,868.248877,weak
6,7,1049.134152,weak
6,7,514.7029057,strong
6,7,1040.075627,weak
6,7,383.7418068,strong
6,7,561.5039966,strong
6,7,1327.693023,weak
6,7,921.825632,weak
6,7,594.6724885,strong
6,7,700.8318471,strong
6,7,523.9270202,strong
6,7,624.2608554,strong
6,7,513.9481899,strong
6,7,905.7351255,weak
6,7,733.7261297,strong
6,7,684.355912,strong
6,7,581.101386,strong
6,7,898.254722,weak
6,7,782.9259626,strong
6,7,610.4007483,strong
6,7,1194.037927,weak
6,7,1088.828901,weak
6,7,1080.309427,weak
6,7,533.9254511,strong
6,7,990.6523725,weak
6,7,691.1991041,strong
6,7,751.9447708,strong
6,7,748.3657375,strong
6,7,744.2153059,strong
6,7,960.8471997,weak
6,7,688.4311937,strong
6,7,736.0221287,strong
6,7,713.2198361,strong
6,7,679.9523924,strong
6,7,700.9041938,strong
6,7,725.0382091,strong
6,7,693.7463619,strong
6,7,760.627427,strong
6,7,791.9026325,strong
6,7,741.5038766,strong
6,7,954.9807471,weak
6,7,666.9751248,strong
6,7,612.3439405,strong
6,7,838.3910954,weak
6,7,716.531744,strong
6,7,857.0934164,weak
6,7,735.6403993,strong
6,7,707.8992684,strong
6,7,789.0287609,strong
6,7,711.1114741,strong
6,7,877.3804046,weak
6,7,761.4186318,strong
6,7,188.4639527,strong
